citation_id,answer_id,document_id,category,confidence_score,validity_prob,is_valid,data_type
CIT-00268,ANS-0186,DOC-0024,SOP & Sirkular Internal,0.467,0.71845,True,calculated
CIT-00269,ANS-0187,DOC-0010,Referensi Regulasi Eksternal,0.959,0.71065,False,calculated
CIT-00270,ANS-0188,DOC-0016,Kontrak & Perjanjian Vendor,0.985,0.81975,True,calculated
CIT-00271,ANS-0188,DOC-0017,SOP & Sirkular Internal,0.985,0.89975,True,calculated
CIT-00272,ANS-0189,DOC-0018,Kontrak & Perjanjian Vendor,0.925,0.79875,True,calculated
CIT-00273,ANS-0190,DOC-0012,SOP & Sirkular Internal,0.892,0.8672000000000001,True,calculated
CIT-00274,ANS-0190,DOC-0002,Referensi Regulasi Eksternal,0.892,0.6872,True,calculated
CIT-00275,ANS-0191,DOC-0025,Kontrak & Perjanjian Vendor,0.689,0.71615,True,calculated
CIT-00276,ANS-0192,DOC-0029,Kontrak & Perjanjian Vendor,0.685,0.71475,True,calculated
CIT-00277,ANS-0192,DOC-0036,SOP & Sirkular Internal,0.685,0.7947500000000001,True,calculated
CIT-00278,ANS-0193,DOC-0018,Kontrak & Perjanjian Vendor,0.893,0.78755,True,calculated
CIT-00279,ANS-0193,DOC-0028,SOP & Sirkular Internal,0.893,0.86755,True,calculated
CIT-00280,ANS-0194,DOC-0034,SOP & Sirkular Internal,0.986,0.9001,True,calculated
CIT-00281,ANS-0194,DOC-0018,Kontrak & Perjanjian Vendor,0.986,0.8200999999999999,True,calculated
CIT-00282,ANS-0195,DOC-0012,SOP & Sirkular Internal,0.988,0.9008,True,calculated
CIT-00283,ANS-0196,DOC-0036,SOP & Sirkular Internal,0.646,0.7811,True,calculated
CIT-00284,ANS-0197,DOC-0012,SOP & Sirkular Internal,0.904,0.8714000000000001,False,calculated
CIT-00285,ANS-0197,DOC-0029,Kontrak & Perjanjian Vendor,0.904,0.7914,False,calculated
CIT-00286,ANS-0198,DOC-0039,SOP & Sirkular Internal,0.974,0.8959,True,calculated
CIT-00287,ANS-0199,DOC-0007,Kontrak & Perjanjian Vendor,0.926,0.7991,True,calculated
CIT-00288,ANS-0199,DOC-0026,Referensi Regulasi Eksternal,0.926,0.6991,True,calculated
CIT-00289,ANS-0200,DOC-0010,Referensi Regulasi Eksternal,0.969,0.71415,False,calculated
CIT-00290,ANS-0201,DOC-0011,Referensi Regulasi Eksternal,0.891,0.68685,True,calculated
CIT-00291,ANS-0201,DOC-0006,SOP & Sirkular Internal,0.891,0.8668500000000001,True,calculated
CIT-00292,ANS-0202,DOC-0008,Kontrak & Perjanjian Vendor,0.877,0.78195,True,calculated
CIT-00293,ANS-0202,DOC-0022,Referensi Regulasi Eksternal,0.877,0.6819500000000001,True,calculated
CIT-00294,ANS-0203,DOC-0040,Referensi Regulasi Eksternal,0.937,0.70295,False,calculated
CIT-00295,ANS-0203,DOC-0034,SOP & Sirkular Internal,0.937,0.8829500000000001,True,calculated
CIT-00296,ANS-0204,DOC-0014,Kontrak & Perjanjian Vendor,0.871,0.7798499999999999,True,calculated
CIT-00297,ANS-0205,DOC-0039,SOP & Sirkular Internal,0.57,0.7545000000000001,True,calculated
CIT-00298,ANS-0206,DOC-0029,Kontrak & Perjanjian Vendor,0.868,0.7787999999999999,True,calculated
CIT-00299,ANS-0207,DOC-0029,Kontrak & Perjanjian Vendor,0.93,0.8005,True,calculated
CIT-00300,ANS-0207,DOC-0005,SOP & Sirkular Internal,0.93,0.8805000000000001,True,calculated
CIT-00301,ANS-0208,DOC-0007,Kontrak & Perjanjian Vendor,0.945,0.80575,True,calculated
CIT-00302,ANS-0208,DOC-0014,Kontrak & Perjanjian Vendor,0.945,0.80575,False,calculated
CIT-00303,ANS-0209,DOC-0001,SOP & Sirkular Internal,0.941,0.8843500000000001,True,calculated
CIT-00304,ANS-0212,DOC-0014,Kontrak & Perjanjian Vendor,0.613,0.68955,False,calculated
CIT-00305,ANS-0213,DOC-0023,SOP & Sirkular Internal,0.744,0.8154,True,calculated
CIT-00306,ANS-0214,DOC-0035,Referensi Regulasi Eksternal,0.861,0.67635,True,calculated
CIT-00307,ANS-0215,DOC-0036,SOP & Sirkular Internal,0.941,0.8843500000000001,True,calculated
CIT-00308,ANS-0215,DOC-0035,Referensi Regulasi Eksternal,0.941,0.70435,True,calculated
CIT-00309,ANS-0216,DOC-0034,SOP & Sirkular Internal,0.941,0.8843500000000001,True,calculated
CIT-00310,ANS-0216,DOC-0038,SOP & Sirkular Internal,0.941,0.8843500000000001,False,calculated
CIT-00311,ANS-0217,DOC-0018,Kontrak & Perjanjian Vendor,0.893,0.78755,False,calculated
CIT-00312,ANS-0217,DOC-0026,Referensi Regulasi Eksternal,0.893,0.68755,False,calculated
CIT-00313,ANS-0218,DOC-0040,Referensi Regulasi Eksternal,0.764,0.6424,True,calculated
CIT-00314,ANS-0218,DOC-0005,SOP & Sirkular Internal,0.764,0.8224,True,calculated
CIT-00315,ANS-0219,DOC-0022,Referensi Regulasi Eksternal,0.907,0.69245,True,calculated
CIT-00316,ANS-0220,DOC-0018,Kontrak & Perjanjian Vendor,0.894,0.7879,False,calculated
CIT-00317,ANS-0220,DOC-0012,SOP & Sirkular Internal,0.894,0.8679000000000001,True,calculated
CIT-00318,ANS-0221,DOC-0001,SOP & Sirkular Internal,0.97,0.8945000000000001,True,calculated
CIT-00319,ANS-0221,DOC-0010,Referensi Regulasi Eksternal,0.97,0.7145,False,calculated
CIT-00320,ANS-0222,DOC-0012,SOP & Sirkular Internal,0.928,0.8798,True,calculated
CIT-00321,ANS-0223,DOC-0039,SOP & Sirkular Internal,0.552,0.7482000000000001,True,calculated
CIT-00322,ANS-0223,DOC-0017,SOP & Sirkular Internal,0.552,0.7482000000000001,True,calculated
CIT-00323,ANS-0224,DOC-0002,Referensi Regulasi Eksternal,0.843,0.67005,True,calculated
CIT-00324,ANS-0224,DOC-0036,SOP & Sirkular Internal,0.843,0.8500500000000001,False,calculated
CIT-00325,ANS-0225,DOC-0013,Kontrak & Perjanjian Vendor,0.971,0.81485,False,calculated
CIT-00326,ANS-0226,DOC-0032,SOP & Sirkular Internal,0.614,0.7699,True,calculated
CIT-00327,ANS-0226,DOC-0036,SOP & Sirkular Internal,0.614,0.7699,True,calculated
CIT-00328,ANS-0227,DOC-0040,Referensi Regulasi Eksternal,0.418,0.5213,False,calculated
CIT-00329,ANS-0227,DOC-0021,Kontrak & Perjanjian Vendor,0.418,0.6213,True,calculated
CIT-00330,ANS-0228,DOC-0020,SOP & Sirkular Internal,0.776,0.8266000000000001,True,calculated
CIT-00331,ANS-0229,DOC-0039,SOP & Sirkular Internal,0.481,0.72335,True,calculated
CIT-00332,ANS-0229,DOC-0021,Kontrak & Perjanjian Vendor,0.481,0.64335,True,calculated
CIT-00333,ANS-0230,DOC-0021,Kontrak & Perjanjian Vendor,0.959,0.81065,True,calculated
CIT-00334,ANS-0231,DOC-0029,Kontrak & Perjanjian Vendor,0.983,0.81905,True,calculated
CIT-00335,ANS-0231,DOC-0022,Referensi Regulasi Eksternal,0.983,0.71905,False,calculated
CIT-00336,ANS-0232,DOC-0001,SOP & Sirkular Internal,0.955,0.8892500000000001,True,calculated
CIT-00337,ANS-0233,DOC-0039,SOP & Sirkular Internal,0.902,0.8707,True,calculated
CIT-00338,ANS-0233,DOC-0036,SOP & Sirkular Internal,0.902,0.8707,True,calculated
CIT-00339,ANS-0234,DOC-0005,SOP & Sirkular Internal,0.871,0.85985,True,calculated
CIT-00340,ANS-0236,DOC-0025,Kontrak & Perjanjian Vendor,0.95,0.8075,True,calculated
CIT-00341,ANS-0237,DOC-0001,SOP & Sirkular Internal,0.747,0.81645,True,calculated
CIT-00342,ANS-0238,DOC-0038,SOP & Sirkular Internal,0.762,0.8217000000000001,True,calculated
CIT-00343,ANS-0238,DOC-0035,Referensi Regulasi Eksternal,0.762,0.6417,False,calculated
CIT-00344,ANS-0240,DOC-0008,Kontrak & Perjanjian Vendor,0.929,0.80015,True,calculated
CIT-00345,ANS-0241,DOC-0024,SOP & Sirkular Internal,0.892,0.8672000000000001,True,calculated
CIT-00346,ANS-0242,DOC-0010,Referensi Regulasi Eksternal,0.87,0.6795,False,calculated
CIT-00347,ANS-0242,DOC-0019,SOP & Sirkular Internal,0.87,0.8595,True,calculated
CIT-00348,ANS-0243,DOC-0017,SOP & Sirkular Internal,0.92,0.8770000000000001,True,calculated
CIT-00349,ANS-0244,DOC-0018,Kontrak & Perjanjian Vendor,0.989,0.8211499999999999,True,calculated
CIT-00350,ANS-0244,DOC-0026,Referensi Regulasi Eksternal,0.989,0.72115,True,calculated
CIT-00351,ANS-0245,DOC-0017,SOP & Sirkular Internal,0.981,0.8983500000000001,True,calculated
CIT-00352,ANS-0245,DOC-0010,Referensi Regulasi Eksternal,0.981,0.71835,True,calculated
CIT-00353,ANS-0246,DOC-0034,SOP & Sirkular Internal,0.951,0.88785,True,calculated
CIT-00354,ANS-0247,DOC-0024,SOP & Sirkular Internal,0.898,0.8693000000000001,True,calculated
CIT-00355,ANS-0247,DOC-0037,SOP & Sirkular Internal,0.898,0.8693000000000001,True,calculated
CIT-00356,ANS-0248,DOC-0022,Referensi Regulasi Eksternal,0.982,0.7187,False,calculated
CIT-00357,ANS-0249,DOC-0015,Kontrak & Perjanjian Vendor,0.935,0.80225,True,calculated
CIT-00358,ANS-0250,DOC-0023,SOP & Sirkular Internal,0.915,0.8752500000000001,True,calculated
CIT-00359,ANS-0251,DOC-0034,SOP & Sirkular Internal,0.8,0.8350000000000001,True,calculated
CIT-00360,ANS-0251,DOC-0026,Referensi Regulasi Eksternal,0.8,0.655,True,calculated
CIT-00361,ANS-0252,DOC-0006,SOP & Sirkular Internal,0.866,0.8581000000000001,True,calculated
CIT-00362,ANS-0252,DOC-0003,SOP & Sirkular Internal,0.866,0.8581000000000001,True,calculated
CIT-00363,ANS-0253,DOC-0005,SOP & Sirkular Internal,0.904,0.8714000000000001,True,calculated
CIT-00364,ANS-0254,DOC-0017,SOP & Sirkular Internal,0.967,0.8934500000000001,True,calculated
CIT-00365,ANS-0255,DOC-0009,SOP & Sirkular Internal,0.756,0.8196000000000001,True,calculated
CIT-00366,ANS-0255,DOC-0023,SOP & Sirkular Internal,0.756,0.8196000000000001,True,calculated
CIT-00367,ANS-0256,DOC-0040,Referensi Regulasi Eksternal,0.905,0.69175,True,calculated
CIT-00368,ANS-0257,DOC-0003,SOP & Sirkular Internal,0.947,0.8864500000000001,True,calculated
CIT-00369,ANS-0257,DOC-0030,SOP & Sirkular Internal,0.947,0.8864500000000001,True,calculated
CIT-00370,ANS-0258,DOC-0033,Kontrak & Perjanjian Vendor,0.985,0.81975,True,calculated
CIT-00371,ANS-0258,DOC-0023,SOP & Sirkular Internal,0.985,0.89975,False,calculated
CIT-00372,ANS-0259,DOC-0034,SOP & Sirkular Internal,0.756,0.8196000000000001,True,calculated
CIT-00373,ANS-0259,DOC-0039,SOP & Sirkular Internal,0.756,0.8196000000000001,True,calculated
CIT-00374,ANS-0260,DOC-0034,SOP & Sirkular Internal,0.958,0.8903000000000001,True,calculated
CIT-00375,ANS-0260,DOC-0029,Kontrak & Perjanjian Vendor,0.958,0.8103,True,calculated
CIT-00376,ANS-0261,DOC-0004,SOP & Sirkular Internal,0.914,0.8749,True,calculated
CIT-00377,ANS-0262,DOC-0030,SOP & Sirkular Internal,0.628,0.7748,True,calculated
CIT-00378,ANS-0262,DOC-0010,Referensi Regulasi Eksternal,0.628,0.5948,False,calculated
CIT-00379,ANS-0264,DOC-0002,Referensi Regulasi Eksternal,0.937,0.70295,False,calculated
CIT-00380,ANS-0265,DOC-0018,Kontrak & Perjanjian Vendor,0.985,0.81975,False,calculated
CIT-00381,ANS-0266,DOC-0022,Referensi Regulasi Eksternal,0.891,0.68685,True,calculated
CIT-00382,ANS-0267,DOC-0040,Referensi Regulasi Eksternal,0.678,0.6123000000000001,False,calculated
CIT-00383,ANS-0267,DOC-0032,SOP & Sirkular Internal,0.678,0.7923000000000001,True,calculated
CIT-00384,ANS-0268,DOC-0010,Referensi Regulasi Eksternal,0.878,0.6823,True,calculated
CIT-00385,ANS-0268,DOC-0018,Kontrak & Perjanjian Vendor,0.878,0.7823,True,calculated
CIT-00386,ANS-0269,DOC-0010,Referensi Regulasi Eksternal,0.887,0.68545,True,calculated
CIT-00387,ANS-0270,DOC-0009,SOP & Sirkular Internal,0.98,0.898,True,calculated
CIT-00388,ANS-0271,DOC-0036,SOP & Sirkular Internal,0.588,0.7608,True,calculated
CIT-00389,ANS-0272,DOC-0002,Referensi Regulasi Eksternal,0.87,0.6795,True,calculated
CIT-00390,ANS-0273,DOC-0028,SOP & Sirkular Internal,0.968,0.8938,True,calculated
CIT-00391,ANS-0274,DOC-0006,SOP & Sirkular Internal,0.959,0.89065,True,calculated
CIT-00392,ANS-0275,DOC-0006,SOP & Sirkular Internal,0.766,0.8231,True,calculated
CIT-00393,ANS-0275,DOC-0028,SOP & Sirkular Internal,0.766,0.8231,True,calculated
CIT-00394,ANS-0276,DOC-0035,Referensi Regulasi Eksternal,0.905,0.69175,False,calculated
CIT-00395,ANS-0276,DOC-0034,SOP & Sirkular Internal,0.905,0.87175,False,calculated
CIT-00396,ANS-0277,DOC-0038,SOP & Sirkular Internal,0.908,0.8728,True,calculated
CIT-00397,ANS-0278,DOC-0015,Kontrak & Perjanjian Vendor,0.921,0.79735,True,calculated
CIT-00398,ANS-0279,DOC-0036,SOP & Sirkular Internal,0.912,0.8742000000000001,True,calculated
CIT-00399,ANS-0280,DOC-0033,Kontrak & Perjanjian Vendor,0.983,0.81905,True,calculated
CIT-00400,ANS-0281,DOC-0030,SOP & Sirkular Internal,0.896,0.8686,False,calculated
CIT-00401,ANS-0282,DOC-0024,SOP & Sirkular Internal,0.888,0.8658,True,calculated
CIT-00402,ANS-0283,DOC-0028,SOP & Sirkular Internal,0.908,0.8728,True,calculated
CIT-00403,ANS-0284,DOC-0002,Referensi Regulasi Eksternal,0.9,0.6900000000000001,True,calculated
CIT-00404,ANS-0285,DOC-0029,Kontrak & Perjanjian Vendor,0.916,0.7956,True,calculated
CIT-00405,ANS-0286,DOC-0032,SOP & Sirkular Internal,0.817,0.8409500000000001,True,calculated
CIT-00406,ANS-0286,DOC-0022,Referensi Regulasi Eksternal,0.817,0.66095,True,calculated
CIT-00407,ANS-0287,DOC-0011,Referensi Regulasi Eksternal,0.885,0.68475,False,calculated
CIT-00408,ANS-0288,DOC-0001,SOP & Sirkular Internal,0.949,0.88715,True,calculated
CIT-00409,ANS-0289,DOC-0027,Kontrak & Perjanjian Vendor,0.934,0.8019000000000001,False,calculated
CIT-00410,ANS-0289,DOC-0018,Kontrak & Perjanjian Vendor,0.934,0.8019000000000001,False,calculated
CIT-00411,ANS-0290,DOC-0016,Kontrak & Perjanjian Vendor,0.942,0.8047,True,calculated
CIT-00412,ANS-0290,DOC-0030,SOP & Sirkular Internal,0.942,0.8847,True,calculated
CIT-00413,ANS-0291,DOC-0036,SOP & Sirkular Internal,0.802,0.8357000000000001,False,calculated
CIT-00414,ANS-0292,DOC-0009,SOP & Sirkular Internal,0.875,0.8612500000000001,True,calculated
CIT-00415,ANS-0292,DOC-0008,Kontrak & Perjanjian Vendor,0.875,0.78125,True,calculated
CIT-00416,ANS-0293,DOC-0037,SOP & Sirkular Internal,0.908,0.8728,True,calculated
CIT-00417,ANS-0294,DOC-0031,SOP & Sirkular Internal,0.684,0.7944000000000001,True,calculated
CIT-00418,ANS-0294,DOC-0020,SOP & Sirkular Internal,0.684,0.7944000000000001,False,calculated
CIT-00419,ANS-0295,DOC-0004,SOP & Sirkular Internal,0.943,0.88505,True,calculated
CIT-00420,ANS-0296,DOC-0018,Kontrak & Perjanjian Vendor,0.915,0.79525,True,calculated
CIT-00421,ANS-0296,DOC-0008,Kontrak & Perjanjian Vendor,0.915,0.79525,False,calculated
CIT-00422,ANS-0297,DOC-0010,Referensi Regulasi Eksternal,0.91,0.6935,True,calculated
CIT-00423,ANS-0297,DOC-0025,Kontrak & Perjanjian Vendor,0.91,0.7935,True,calculated
CIT-00424,ANS-0298,DOC-0015,Kontrak & Perjanjian Vendor,0.947,0.80645,True,calculated
CIT-00425,ANS-0299,DOC-0035,Referensi Regulasi Eksternal,0.931,0.70085,True,calculated
CIT-00426,ANS-0299,DOC-0011,Referensi Regulasi Eksternal,0.931,0.70085,True,calculated
CIT-00427,ANS-0300,DOC-0019,SOP & Sirkular Internal,0.882,0.8637,True,calculated
CIT-00428,ANS-0300,DOC-0028,SOP & Sirkular Internal,0.882,0.8637,True,calculated
